Name,Column,df1_value,df2_value
2023 San Luis NWR - West Bank Creek,p1fledgedisp,ND,~7/5/2023
2023 Sedgwick,p1hatch,~4/15/2023,4/17/2023
2023 WA Harder Spring,p2fledgedisp,7/29/2023,~7/30/2023
2023 WA McCain Wetlands,p1fledgestart,~5/24/2023,5/24/2023
2023 WA McCain Wetlands,p1fledgedisp,5/28/2023(C),6/3/2023
2023 Weagell Property 1,p1mcend,inf,4/27/2023
2023 Weagell Property 1,p1incstart,ND,4/27/2023
2023 Weagell Property 1,p1hatch,5/3/2023,5/9/2023
2023 Weagell Property 1,p1fledgestart,~5/14/2023,5/22/2023
2023 Weagell Property 1,p3hatch,~6/8/2023,~6/5/2023
2023 Weagell Property 1,p3fledgestart,ND,Continuous
2023 Weagell Property 2,p1hatch,~5/17/2023,5/19/2023
2023 West of Davis,p1hatch,inf,"before start, HBC absent"
2023 West of Davis,p2hatch,~5/20/2023,5/22/2023
2023 Wind Wolves Preserve site 1,p1hatch,~5/3/2023,~5/2/2023
2024 Baja Lago Mesa Redonda,p1hatch,inf,"before start, HBC present"
2024 Baja Rancho Cinega Redonda 1,p1hatch,inf,"before start, HBC present"
2024 Baja Rancho Cinega Redonda 1,p2hatch,~5/23/2024,5/25/2024
2024 Los Vaqueros Reservoir,p1hatch,~5/3/2024,5/5/2024
2024 Los Vaqueros Reservoir,p1fledgestart,ND,~5/19/2024
2024 Los Vaqueros Reservoir,p2hatch,6/9/2024,~6/8/2024
2024 Newberry Springs,p1hatch,inf,"before start, HBC absent"
2024 Panoche Creek Preserve - Dollar Marsh East,p2hatch,~6/8/2024,~6/4/2024
2024 Panoche Creek Preserve - Dollar Marsh East,p2fledgedisp,ND,~6/16/2024
2024 Rancho Jamul - Main Pond 1,p1hatch,4/25/2024(E),4/25/2024
2024 Rancho Jamul - Main Pond 1,p2hatch,5/28/2024(E),~5/26/2024
2024 Rancho Jamul - Main Pond 2,p1hatch,4/25/2024(E),4/25/2024
2024 Rancho Jamul - Main Pond 2,p2hatch,~5/24/2024,5/26/2024
2024 Sedgwick,p1hatch,~4/18/2024,4/20/2024
2024 Sedgwick,p1fledgestart,~5/3/2024,5/8/2024
2024 SJWA Thistle NW of Bridge Street Pond,p1hatch,inf,"before start, HBC present"
2024 WA Harder Spring,p2hatch,~7/16/2024,7/18/2024
2024 Wind Wolves Preserve - Los Lobos,Longitude,-119.215,-119.24
2024 Wind Wolves Preserve - Los Lobos,p1hatch,inf,"before start, HBC absent"
2024 Wind Wolves Preserve - Los Lobos,p2hatch,~5/21/2024(E),~5/21/2024
2024 Wind Wolves Preserve - Pleitito,p1hatch,4/16/2024(E),4/16/2024
2024 Wind Wolves Preserve - Santiago,p1hatch,inf,"before start, HBC absent"
