Source Row,Site ID,Name,Pulse,Column,Issue Type,Severity,Value,Suggested Value,Message,Skip Site,Included In Main Output
34,7657,2020 Conaway Ranch,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
35,2908,2020 Creed Road,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
35,2908,2020 Creed Road,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
35,2908,2020 Creed Road,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
36,57589,2020 Fort Ord,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
36,57589,2020 Fort Ord,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
36,57589,2020 Fort Ord,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
38,6199,2020 Hay Landfill,p2,p2Outcome,outcome_without_dates,REVIEW,Successful,Successful,"p2Outcome is 'Successful', but all exported date fields are blank or ND.",,Yes
38,6199,2020 Hay Landfill,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
38,6199,2020 Hay Landfill,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
39,7650,2020 Iron Point,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
39,7650,2020 Iron Point,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
39,7650,2020 Iron Point,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
40,6404,2020 Markham Ravine,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
40,6404,2020 Markham Ravine,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
40,6404,2020 Markham Ravine,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
41,2915,2020 Rush Ranch,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
41,2915,2020 Rush Ranch,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
41,2915,2020 Rush Ranch,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
42,18572,2020 Ohlone - Santa Lucia Preserve,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
42,18572,2020 Ohlone - Santa Lucia Preserve,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
42,18572,2020 Ohlone - Santa Lucia Preserve,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
43,24130,2021 Colusa NWR 27-1,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
43,24130,2021 Colusa NWR 27-1,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
43,24130,2021 Colusa NWR 27-1,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
44,24221,2021 Colusa NWR 27-2,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
44,24221,2021 Colusa NWR 27-2,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
44,24221,2021 Colusa NWR 27-2,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
45,21652,2021 Conaway East,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,Dupe,No
45,21652,2021 Conaway East,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,Dupe,No
45,21652,2021 Conaway East,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,Dupe,No
46,24652,2021 Conaway South,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
46,24652,2021 Conaway South,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
46,24652,2021 Conaway South,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
47,21591,2021 Conaway West,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,Dupe,No
47,21591,2021 Conaway West,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,Dupe,No
47,21591,2021 Conaway West,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,Dupe,No
48,24122,2021 Dagnino Pond,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
48,24122,2021 Dagnino Pond,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
48,24122,2021 Dagnino Pond,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
49,21681,2021 Creed Road,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
49,21681,2021 Creed Road,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
49,21681,2021 Creed Road,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
50,24651,2021 Reeds Creek North,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
50,24651,2021 Reeds Creek North,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
50,24651,2021 Reeds Creek North,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
51,24653,2021 Reeds Creek South,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
51,24653,2021 Reeds Creek South,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
51,24653,2021 Reeds Creek South,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
52,21668,2021 Foley Ranch,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
52,21668,2021 Foley Ranch,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
53,21688,2021 Hale Road 2,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
53,21688,2021 Hale Road 2,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
53,21688,2021 Hale Road 2,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
54,11101,2021 Hay Landfill,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
54,11101,2021 Hay Landfill,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
54,11101,2021 Hay Landfill,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
55,24658,2021 Iron Point,p1,p1abandon,abandoned_outcome_missing_abandon_date,REVIEW,ND,ND,"Outcome is Abandoned, but abandon date is blank or ND.",,Yes
55,24658,2021 Iron Point,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
55,24658,2021 Iron Point,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
55,24658,2021 Iron Point,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
56,24606,2021 Kern 1,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
56,24606,2021 Kern 1,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
56,24606,2021 Kern 1,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
57,24544,2021 Kern 2,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
57,24544,2021 Kern 2,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
57,24544,2021 Kern 2,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
58,24641,2021 Kern 3,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
58,24641,2021 Kern 3,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
58,24641,2021 Kern 3,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
59,24655,2021 Kern 4,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
59,24655,2021 Kern 4,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
59,24655,2021 Kern 4,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
60,26534,2021 Kern 5,p2,p2Outcome,outcome_without_dates,REVIEW,Successful,Successful,"p2Outcome is 'Successful', but all exported date fields are blank or ND.",,Yes
60,26534,2021 Kern 5,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
60,26534,2021 Kern 5,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
61,26535,2021 Kern 6,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
61,26535,2021 Kern 6,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
61,26535,2021 Kern 6,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
62,26536,2021 Kern 7,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
62,26536,2021 Kern 7,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
62,26536,2021 Kern 7,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
63,26432,2021 Markham Ravine,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
63,26432,2021 Markham Ravine,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
63,26432,2021 Markham Ravine,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
64,24252,2021 Orchard Creek,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
64,24252,2021 Orchard Creek,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
65,24233,2021 Panoche Creek Preserve 1W,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
65,24233,2021 Panoche Creek Preserve 1W,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
65,24233,2021 Panoche Creek Preserve 1W,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
66,24232,2021 Panoche Creek Preserve 2E,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
66,24232,2021 Panoche Creek Preserve 2E,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
66,24232,2021 Panoche Creek Preserve 2E,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
67,21537,2021 Plumas Arboga,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
67,21537,2021 Plumas Arboga,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
67,21537,2021 Plumas Arboga,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
68,24119,2021 Rancho Jamul,p1,p1Outcome,outcome_without_dates,REVIEW,Successful,Successful,"p1Outcome is 'Successful', but all exported date fields are blank or ND.",,Yes
68,24119,2021 Rancho Jamul,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
68,24119,2021 Rancho Jamul,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
68,24119,2021 Rancho Jamul,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
69,24231,2021 Rodeo Grounds 1,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
69,24231,2021 Rodeo Grounds 1,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
69,24231,2021 Rodeo Grounds 1,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
70,24549,2021 Rush Ranch,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
70,24549,2021 Rush Ranch,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
70,24549,2021 Rush Ranch,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
71,25171,2021 SJWA,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
71,25171,2021 SJWA,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
71,25171,2021 SJWA,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
72,11100,2021 Sedgwick,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
72,11100,2021 Sedgwick,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
72,11100,2021 Sedgwick,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
73,24107,2021 Willey Wetlands 1,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,Dupe,No
73,24107,2021 Willey Wetlands 1,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,Dupe,No
73,24107,2021 Willey Wetlands 1,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,Dupe,No
74,24261,2021 Willey Wetlands 2,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
74,24261,2021 Willey Wetlands 2,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
74,24261,2021 Willey Wetlands 2,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
75,24263,2021 Willey Wetlands 3,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,Dupe,No
75,24263,2021 Willey Wetlands 3,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,Dupe,No
75,24263,2021 Willey Wetlands 3,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,Dupe,No
76,24790,2021 Wind Wolves Preserve,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
76,24790,2021 Wind Wolves Preserve,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
76,24790,2021 Wind Wolves Preserve,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
77,34485,2022 Baja 1,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
77,34485,2022 Baja 1,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
77,34485,2022 Baja 1,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
78,53136,2022 Baja 2,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,Dupe,No
78,53136,2022 Baja 2,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,Dupe,No
78,53136,2022 Baja 2,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,Dupe,No
79,34044,2022 Colusa NWR T27.1,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
79,34044,2022 Colusa NWR T27.1,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
79,34044,2022 Colusa NWR T27.1,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
80,34079,2022 Colusa NWR T27.2,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
80,34079,2022 Colusa NWR T27.2,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
80,34079,2022 Colusa NWR T27.2,p4,p4Outcome,invalid_outcome_value,ERROR,n/a,n/a,p4Outcome has an unexpected outcome value.,,No
81,34111,2022 Conaway New Easement Pond West,p2,p2Outcome,invalid_outcome_value,ERROR,n/a,n/a,p2Outcome has an unexpected outcome value.,,No
81,34111,2022 Conaway New Easement Pond West,p3,p3Outcome,invalid_outcome_value,ERROR,n/a,n/a,p3Outcome has an unexpected outcome value.,,No
