Name,First Recording,Last Recording
2023 Laguna Frye Confluence 3,5/9/2023,6/18/2023
2023 Los Vaqueros - Walnut Trail Marsh,4/7/2023,7/7/2023
2023 Los Vaqueros Playa,3/24/2023,7/31/2023
2023 Markham Ravine,5/15/2023,7/17/2023
2023 Merced NWR - Cottonwood Trail,5/12/2023,6/16/2023
2023 Merced NWR - Deadman Wetland Ditch,5/23/2023,6/27/2023
2023 North Regional Pond,3/31/2023,6/2/2023
2023 Oregon State - Warm Springs Dizney Lane,4/29/2023,7/15/2023
2023 Oregon State - Metolius Eureka Lane,4/29/2023,7/24/2023
2023 Oregon State - Prineville Grimes Rd,4/29/2023,7/15/2023
2023 Panoche Creek Preserve - Corrals North West,4/29/2023,6/12/2023
2023 Panoche Creek Preserve - Corrals Southeast,4/29/2023,6/12/2023
2023 Petersen Ranch Pond - East,4/5/2023,7/28/2023
2023 Petersen Ranch Pond - West,4/5/2023,7/28/2023
2023 Plumas Arboga 2,5/26/2023,7/8/2023
2023 Plumas Arboga 8,4/21/2023,7/8/2023
2023 Rancho Jamul - North Pond,3/27/2023,8/4/2023
2023 Rancho Jamul - Site 1,3/27/2023,8/3/2023
2023 San Luis NWR - Tanager Slough,6/16/2023,7/24/2023
2023 San Luis NWR - Fiddleneck Lake,5/26/2023,7/12/2023
2023 Sedgwick Reserve Pond,3/26/2023,7/29/2023
2023 South Virginia Road 3,4/11/2023,6/6/2023
2023 Virginia at Ostrom,4/18/2023,6/14/2023
2023 Washington State - Harder Spring,4/10/2023,8/9/2023
2023 Washington State - McCain Wetlands,4/10/2023,8/7/2023
2023 Laguna Frye Confluence 1,4/19/2023,6/18/2023
2023 Laguna Frye Confluence 2,4/25/2023,6/18/2023
2023 San Jacinto Wildlife Area West of Davis Road,5/6/2023,6/29/2023
2023 Wind Wolves Preserve - Los Lobos,4/7/2023,7/25/2023
2023 Wind Wolves Preserve - Santiago Wetlands,4/7/2023,7/25/2023
2024 Baja Lago Mesa Redonda,5/2/2024,8/4/2024
2024 Baja Ciénega Redonda North,4/23/2024,8/19/2024
2024 Baja Ciénega Redonda South,4/23/2024,8/1/2024
2024 Colusa NWR T27-1&2,4/24/2024,9/3/2024
2024 Colusa NWR T27-2S,4/24/2024,8/4/2024
2024 Dagnino Pond,5/21/2024,8/15/2024
2024 Kern 1,4/8/2024,8/12/2024
2024 Los Vaqueros Playa,3/15/2024,6/24/2024
2024 Markham Ravine 1,5/7/2024,5/24/2024
2024 Markham Ravine 2,5/7/2024,5/24/2024
2024 Markham Ravine 3,5/7/2024,5/24/2024
2024 Merced NWR - Duck Slough Farmfield,4/25/2024,7/12/2024
2024 Moore's Lake,4/10/2024,7/1/2024
2024 Newberry Springs  - Croydon Avenue,5/27/2024,6/2/2024
2024 North Regional Pond,4/16/2024,6/2/2024
2024 Santa Lucia Preserve - Ohlone Pond,4/10/2024,7/1/2024
2024 Oregon State -  Metolius Eureka Lane,5/4/2024,7/14/2024
2024 Panoche Creek Marsh East,4/15/2024,8/1/2024
2024 Panoche Creek Marsh South,4/16/2024,8/1/2024
2024 Panoche Creek Marsh West,4/15/2024,8/1/2024
2024 Rancho Jamul - Main Pond 1,3/26/2024,8/7/2024
2024 Rancho Jamul - Main Pond 2,3/26/2024,7/6/2024
2024 Rancho Jamul - North Pond,3/27/2024,6/22/2024
2024 Sedgwick Reserve Pond,4/4/2024,8/4/2024
2024 San Jacinto Wildlife Area - Thistle Patch NE of Bridge Street Pond,6/5/2024,6/22/2024
2024 Washington State - Harder Spring,3/25/2024,8/3/2024
2024 Washington State - McCain Wetlands,3/29/2024,8/9/2024
2024 Wind Wolves Preserve - Los Lobos,4/30/2024,9/11/2024
2024 Wind Wolves Preserve - Pleitito Creek,4/26/2024,8/11/2024
2024 Wind Wolves Preserve - Santiago Wetlands,4/30/2024,8/31/2024
2024 Wind Wolves Preserve - Tevis,4/30/2024,9/24/2024
,,
,,
